               T [K]          p_Sat [Pa]  rho_l_sat [kg/m^3]    v_l_sat [m^3/kg]      e_l_sat [J/kg]    s_l_sat [J/kg-K]      h_l_sat [J/kg]   cv_l_sat [J/kg-K]   cp_l_sat [J/kg-K]       c_l_sat [m/s]  rho_g_sat [kg/m^3]    v_g_sat [m^3/kg]      e_g_sat [J/kg]    s_g_sat [J/kg-K]      h_g_sat [J/kg]   cv_g_sat [J/kg-K]   cp_g_sat [J/kg-K]       c_g_sat [m/s]
      6.24150000e+02      1.67331004e+07      5.70603997e+02      1.75252891e-03      1.64981877e+06      3.79098928e+03      1.67914401e+06      3.16305683e+03      1.04078955e+04      5.67474931e+02      1.16110734e+02      8.61246818e-03      2.41260530e+06      5.19702110e+03      2.55671859e+06      3.75781800e+03      1.73579463e+04      4.22650164e+02
      6.25150000e+02      1.69391379e+07      5.66428405e+02      1.76544819e-03      1.65763747e+06      3.80385441e+03      1.68754264e+06      3.17361988e+03      1.07203454e+04      5.58740665e+02      1.18703734e+02      8.42433479e-03      2.40686067e+06      5.18275395e+03      2.54956164e+06      3.78073153e+03      1.80836544e+04      4.20816879e+02
      6.26150000e+02      1.71473027e+07      5.62135469e+02      1.77893062e-03      1.66559119e+06      3.81693440e+03      1.69609505e+06      3.18476887e+03      1.10628795e+04      5.49879742e+02      1.21398952e+02      8.23730342e-03      2.40089625e+06      5.16812603e+03      2.54214378e+06      3.80479686e+03      1.88777581e+04      4.18898311e+02
      6.27150000e+02      1.73576215e+07      5.57716025e+02      1.79302719e-03      1.67369017e+06      3.83024672e+03      1.70481285e+06      3.19659141e+03      1.14401775e+04      5.40885590e+02      1.24204571e+02      8.05123350e-03      2.39469651e+06      5.15310995e+03      2.53444677e+06      3.83000570e+03      1.97503564e+04      4.16891901e+02
      6.28150000e+02      1.75701221e+07      5.53159698e+02      1.80779620e-03      1.68194604e+06      3.84381125e+03      1.71370924e+06      3.20918687e+03      1.18579478e+04      5.31751272e+02      1.27129894e+02      7.86597051e-03      2.38824376e+06      5.13767447e+03      2.52644982e+06      3.85635832e+03      2.07137061e+04      4.14794397e+02
      6.29150000e+02      1.77848334e+07      5.48454663e+02      1.82330476e-03      1.69037212e+06      3.85765078e+03      1.72279929e+06      3.22266833e+03      1.23232231e+04      5.22469400e+02      1.30185565e+02      7.68134316e-03      2.38151770e+06      5.12178373e+03      2.51812911e+06      3.88386406e+03      2.17828254e+04      4.12601754e+02
      6.30150000e+02      1.80017853e+07      5.43587342e+02      1.83963077e-03      1.69898378e+06      3.87179162e+03      1.73210042e+06      3.23716523e+03      1.28447640e+04      5.13032034e+02      1.33383846e+02      7.49715973e-03      2.37449493e+06      5.10539631e+03      2.50945719e+06      3.91254222e+03      2.29763118e+04      4.10308998e+02
      6.31150000e+02      1.82210089e+07      5.38542011e+02      1.85686535e-03      1.70779890e+06      3.88626438e+03      1.74163286e+06      3.25282675e+03      1.34336204e+04      5.03430565e+02      1.36738983e+02      7.31320346e-03      2.36714822e+06      5.08846405e+03      2.50040217e+06      3.94242301e+03      2.43174698e+04      4.07910060e+02
      6.32150000e+02      1.84425369e+07      5.33300290e+02      1.87511618e-03      1.71683847e+06      3.90110507e+03      1.75142037e+06      3.26982634e+03      1.41039258e+04      4.93655554e+02      1.40267672e+02      7.12922648e-03      2.35944570e+06      5.07093051e+03      2.49092672e+06      3.97354899e+03      2.58358944e+04      4.05397547e+02
      6.33150000e+02      1.86664034e+07      5.27840468e+02      1.89451181e-03      1.72612737e+06      3.91635640e+03      1.76149109e+06      3.28836775e+03      1.48740453e+04      4.83696541e+02      1.43989686e+02      6.94494188e-03      2.35134966e+06      5.05272890e+03      2.48098675e+06      4.00597681e+03      2.75697393e+04      4.02762452e+02
