        rho [kg/m^3]               T [K]         Vics [Pa*s]
      9.98000000e+02      2.98150000e+02     8.897351001e-04
      1.20000000e+03      2.98150000e+02     1.437649467e-03
      1.00000000e+03      3.73150000e+02     3.078836223e-04
      1.00000000e+00      4.33150000e+02     1.453832449e-05
      1.00000000e+03      4.33150000e+02     2.176853583e-04
      1.00000000e+00      8.73150000e+02     3.261928697e-05
      1.00000000e+02      8.73150000e+02     3.580226172e-05
      6.00000000e+02      8.73150000e+02     7.743019523e-05
      1.00000000e+00      1.17315000e+03     4.421724451e-05
      1.00000000e+02      1.17315000e+03     4.764043308e-05
      4.00000000e+02      1.17315000e+03     6.415460785e-05
